Transaction_date,Product,Price,Payment_Type,Name,City,State,Country,Account_Created,Last_Login
1/16/2009 7:20,Product2,3600,Mastercard,Jag,Saint-Cergues,Rhone-Alpes,France,1/15/2009 4:53,1/28/2009 12:43
1/6/2009 9:55,Product1,1200,Mastercard,Charlene ,Vancouver,British Columbia,Canada,10/7/2008 14:55,1/28/2009 13:17
1/7/2009 12:55,Product1,1200,Amex,Fiona,Stamford                    ,CT,United States,1/5/2009 6:26,1/28/2009 13:24
1/19/2009 12:14,Product1,1200,Mastercard,burt,Rathfarnham,Dublin,Ireland,5/10/2008 7:07,1/28/2009 13:28
1/13/2009 15:19,Product2,3600,Visa,Maggie,Paris,Ile-de-France,France,6/27/2007 4:41,1/28/2009 14:11
1/18/2009 8:56,Product1,1200,Mastercard,Stanford,Howell                      ,MI,United States,1/30/2008 13:16,1/28/2009 14:37
1/4/2009 17:54,Product1,1200,Amex,ruth,Encinitas                   ,CA,United States,1/1/2009 10:12,1/28/2009 15:13
1/5/2009 13:46,Product1,1200,Visa,Courtney,Atchison                    ,KS,United States,11/11/2008 14:19,1/28/2009 17:10
1/5/2009 10:49,Product2,3600,Amex,Courtney,Mililani                    ,HI,United States,8/23/2007 0:00,1/28/2009 18:13
1/12/2009 18:24,Product1,1200,Diners,Anthony,Victor                      ,NY,United States,12/18/2008 7:14,1/28/2009 18:19
1/18/2009 4:01,Product1,1200,Visa,Eleanor,Fairbanks                   ,AK,United States,1/6/2009 0:18,1/28/2009 23:56
1/16/2009 10:58,Product1,1200,Visa,GAIA,Soro,Vestsjalland,Denmark,7/27/2007 7:22,1/29/2009 3:16
1/13/2009 8:20,Product1,1200,Mastercard,Zane,Warlingham,England,United Kingdom,3/4/2005 5:51,1/29/2009 3:25
1/12/2009 1:42,Product1,1200,Mastercard,Beate,Hamburg,Hamburg,Germany,1/7/2009 7:56,1/29/2009 4:33
1/28/2009 13:07,Product1,1200,Amex,BALA,Accokeek                    ,MD,United States,11/29/2007 5:56,1/29/2009 4:40
1/29/2009 5:43,Product1,1200,Visa,Mrs,Sunnyvale                   ,CA,United States,1/29/2009 5:18,1/29/2009 5:18
1/29/2009 5:30,Product1,1200,Diners,Vanessa,Ithaca                      ,NY,United States,1/29/2009 4:49,1/29/2009 6:56
1/13/2009 18:08,Product1,1200,Amex,Amanda,Houston                     ,TX,United States,1/13/2009 17:02,1/29/2009 7:34
1/9/2009 15:24,Product1,1200,Mastercard,alex ,Farmingtn Hls               ,MI,United States,1/9/2009 13:59,1/29/2009 8:05
1/23/2009 15:33,Product1,1200,Mastercard,T,Brooklyn                    ,NY,United States,1/23/2009 14:18,1/29/2009 11:02
1/29/2009 12:28,Product1,1200,Mastercard,Alva and Martin,Great Falls                 ,VA,United States,5/21/2007 14:57,1/29/2009 12:31
1/13/2009 11:31,Product1,1200,Visa,Anett,Gosport,England,United Kingdom,1/9/2009 11:30,1/29/2009 12:48
1/29/2009 10:09,Product2,3600,Mastercard,Jacqui,Scottsdale                  ,AZ,United States,1/29/2009 9:59,1/29/2009 12:58
1/29/2009 15:08,Product1,1200,Visa,KERRY,Sunnyvale                   ,CA,United States,1/29/2009 14:04,1/29/2009 14:04
1/4/2009 5:12,Product1,1200,Visa,DeeDee,Songnae-dong,Soul-t'ukpyolsi,South Korea,12/30/2008 8:40,1/29/2009 16:41
1/22/2009 22:16,Product2,3600,Mastercard,leanne,Clyde Hill                  ,WA,United States,1/17/2009 23:28,1/29/2009 16:51
1/5/2009 19:26,Product1,1200,Visa,katie,Ruschlikon,Zurich,Switzerland,1/5/2009 19:14,1/30/2009 1:06
1/11/2009 12:22,Product1,1200,Visa,Marina,Minneapolis                 ,MN,United States,1/11/2009 7:18,1/30/2009 2:10
1/2/2009 9:31,Product1,1200,Visa,camilla,Chicago                     ,IL,United States,1/2/2009 9:09,1/30/2009 5:35
1/5/2009 11:21,Product1,1200,Visa,pirunkit,Petworth,England,United Kingdom,1/5/2009 5:46,1/30/2009 5:54
1/17/2009 9:49,Product1,1200,Diners,Kathrin,Abu Dhabi,Abu Zaby,United Arab Emirates,2/27/2008 20:02,1/30/2009 8:45
1/28/2009 1:38,Product1,1200,Mastercard,Kate,Stockholm,Stockholm,Sweden,4/16/2007 12:58,1/30/2009 9:18
1/19/2009 10:32,Product1,1200,Mastercard,Maie,Queen Creek                 ,AZ,United States,1/6/2009 17:57,1/30/2009 10:41
1/26/2009 12:05,Product1,1250,Mastercard,verena,Queen Creek                 ,AZ,United States,1/6/2009 17:57,1/30/2009 10:41
1/7/2009 18:53,Product1,1200,Visa,Marie-Christine,Durham                      ,NC,United States,12/29/2008 9:59,1/30/2009 10:46
1/26/2009 11:38,Product1,1200,Mastercard,Gabriella,Austin                      ,TX,United States,1/26/2009 7:16,1/30/2009 13:15
1/8/2009 13:19,Product1,1200,Mastercard,valerie et nicolas,Glenn Dale                  ,MD,United States,1/8/2009 5:31,1/30/2009 17:40
1/11/2009 14:56,Product1,1200,Visa,Nicole,Aardal,Sogn og Fjordane,Norway,1/5/2009 5:51,1/31/2009 4:21
1/30/2009 20:36,Product1,1200,Visa,Renee,Edinburg                    ,TX,United States,1/30/2009 20:05,1/31/2009 4:47
1/1/2009 8:09,Product1,1200,Mastercard,Nicole,South Melbourne,Victoria,Australia,12/30/2008 0:55,1/31/2009 5:40
1/17/2009 11:09,Product1,1200,Mastercard,Joachim,Fortaleza,Ceara,Brazil,1/17/2009 10:46,1/31/2009 6:42
1/31/2009 7:22,Product1,1200,Visa,Monica ,Weston                      ,CT,United States,2/29/2008 17:34,1/31/2009 6:43
1/31/2009 9:12,Product1,1200,Visa,Nanci,Reading,England,United Kingdom,8/28/2008 10:22,1/31/2009 9:08
1/31/2009 8:56,Product1,1200,Mastercard,Laura,Coconut Grove               ,FL,United States,1/31/2009 8:03,1/31/2009 9:22
1/31/2009 9:00,Product1,1200,Visa,ciara and mike,London,England,United Kingdom,1/31/2009 8:32,1/31/2009 10:07
1/11/2009 14:07,Product1,1200,Visa,Sarah,San Francisco               ,CA,United States,1/11/2009 13:08,1/31/2009 10:20
1/1/2009 12:25,Product2,3600,Mastercard,Anne-line,Zug,Zug,Switzerland,3/29/2005 23:14,1/31/2009 10:58
1/31/2009 11:14,Product2,3600,Mastercard,Ulrika,Scottsdale                  ,AZ,United States,1/31/2009 11:10,1/31/2009 11:10
1/2/2009 9:57,Product1,1200,Amex,leigh,Potomac Falls               ,VA,United States,2/20/2005 17:20,1/31/2009 11:24
1/4/2009 13:20,Product1,1200,Mastercard,Nuria,Superior                    ,CO,United States,1/4/2009 12:08,1/31/2009 13:17
1/22/2009 12:32,Product1,1200,Mastercard,Tejal,London,England,United Kingdom,1/2/2008 9:51,1/31/2009 14:43
1/18/2009 6:09,Product1,1200,Mastercard,Ignacio,Engleside                   ,VA,United States,5/21/2007 18:56,1/31/2009 15:33
1/8/2009 0:04,Product1,1200,Visa,ZOE,New Plymouth City,Taranaki,New Zealand,1/7/2009 23:34,1/31/2009 17:47
1/24/2009 7:14,Product1,1200,Mastercard,nihan,Roanoke                     ,VA,United States,3/2/2008 7:35,1/31/2009 19:18
1/24/2009 11:05,Product1,1200,Visa,alan,Norcross                    ,GA,United States,7/30/2007 15:16,1/31/2009 19:31
1/6/2009 15:12,Product1,1200,Amex,lydia,Sandy Plains                ,GA,United States,9/23/2006 8:42,1/31/2009 20:48
1/24/2009 17:06,Product1,1200,Visa,Tracey,Saint Catharines,Ontario,Canada,1/24/2009 15:51,1/31/2009 21:10
1/3/2009 9:58,Product1,1200,Visa,Anja,Gainesville                 ,VA,United States,10/19/2008 8:27,1/31/2009 22:19
1/9/2009 16:35,Product1,1200,Diners,Jennifer,Nordstrand,Oslo,Norway,12/29/2005 9:26,2/1/2009 4:18
1/12/2009 14:50,Product1,1200,Visa,Holly,Arlington                   ,MA,United States,1/12/2009 9:54,2/1/2009 7:36
1/7/2009 13:49,Product1,1200,Diners,megan,West Hills                  ,CA,United States,1/7/2009 12:36,2/1/2009 8:20
1/9/2009 19:41,Product1,1200,Mastercard,Tarah,San Jose                    ,CA,United States,1/5/2009 18:02,2/1/2009 9:18
1/26/2009 4:53,Product1,1200,Visa,Gerardo,London,England,United Kingdom,1/26/2009 4:12,2/1/2009 9:48
1/23/2009 21:41,Product1,1200,Visa,Joanne,Oak Park                    ,MI,United States,12/26/2008 11:00,2/1/2009 9:51
1/6/2009 16:07,Product1,1200,Visa,Margaret,Terrell Hills               ,TX,United States,12/21/2008 12:21,2/1/2009 10:06
1/10/2009 7:55,Product1,1200,Visa,Laura,Jumeira,Dubayy,United Arab Emirates,1/7/2009 9:47,2/1/2009 10:18
1/28/2009 20:44,Product1,1200,Visa,Whitney,Falmouth                    ,VA,United States,1/28/2009 19:36,2/1/2009 11:33
1/9/2009 3:38,Product1,1200,Visa,Ravinder,Lurgan,Northern Ireland,United Kingdom,6/3/2008 4:22,2/1/2009 11:53
1/19/2009 8:52,Product1,1200,Visa,Pam,Richmond                    ,TX,United States,1/6/2009 15:24,2/1/2009 11:53
1/15/2009 7:26,Product1,1200,Mastercard,Celina,Den Haag,Zuid-Holland,Netherlands,1/14/2009 0:00,2/1/2009 13:17
1/30/2009 19:12,Product1,1200,Diners,Heather,Ooltewah                    ,TN,United States,1/30/2009 18:54,2/1/2009 13:51
1/5/2009 12:41,Product1,1200,Mastercard,Kathryn,Pacific Beach               ,CA,United States,1/5/2009 11:50,2/1/2009 14:28
1/28/2009 20:59,Product1,1200,Visa,Michele ,Austin                      ,TX,United States,1/28/2009 9:40,2/1/2009 15:00
1/10/2009 21:36,Product1,1200,Visa,Craig,Seattle                     ,WA,United States,8/10/2008 16:47,2/1/2009 15:27
1/25/2009 19:59,Product1,1200,Visa,Kim,Seattle                     ,WA,United States,8/13/2008 18:27,2/1/2009 16:04
1/7/2009 8:03,Product1,1200,Amex,maria,Ottawa,Ontario,Canada,4/17/2005 22:28,2/1/2009 18:52
1/21/2009 9:07,Product1,1200,Visa,Elaine,Vienna                      ,VA,United States,4/2/2008 9:59,2/1/2009 21:07
1/23/2009 14:43,Product1,1200,Visa,Madison,Torbay,Auckland,New Zealand,1/18/2009 11:34,2/1/2009 21:31
1/5/2009 13:07,Product1,1200,Visa,Amanda,Shenfield,England,United Kingdom,1/2/2009 14:27,2/1/2009 22:27
1/6/2009 3:39,Product1,1200,Visa,Krista,Bergen,Hordaland,Norway,9/20/2005 1:58,2/2/2009 0:08
1/15/2009 15:26,Product1,1200,Visa,Sarah,Bolton,England,United Kingdom,1/15/2009 8:16,2/2/2009 0:53
1/23/2009 4:47,Product1,1200,Mastercard,Sarah,Sandymount,Dublin,Ireland,1/16/2006 8:48,2/2/2009 2:12
1/12/2009 10:05,Product2,3600,Amex,Pamela,Bellinzona,Ticino,Switzerland,9/3/2007 13:23,2/2/2009 5:16
1/30/2009 5:13,Product1,1200,Visa,Christine,Antwerpen,Antwerpen,Belgium,1/3/2006 13:57,2/2/2009 5:45
1/14/2009 10:32,Product3,7500,Mastercard,Diana,Campinas,Sao Paulo,Brazil,11/5/2008 7:03,2/2/2009 5:54
1/12/2009 8:13,Product1,1200,Amex,mary,Nacka,Stockholm,Sweden,3/8/2006 4:32,2/2/2009 6:01
1/27/2009 8:11,Product1,1200,Visa,Helena,Fremont                     ,CA,United States,1/27/2009 8:05,2/2/2009 6:08
1/30/2009 17:33,Product1,1200,Visa,nina,Warwick,Queensland,Australia,1/25/2009 22:36,2/2/2009 6:13
1/15/2009 9:52,Product1,1200,Amex,Mark,Holmdel                     ,NJ,United States,1/15/2009 8:36,2/2/2009 7:00
1/13/2009 11:54,Product1,1200,Visa,alice and rudolf,Baltimore                   ,MD,United States,1/8/2009 11:11,2/2/2009 8:01
1/21/2009 11:00,Product1,1200,Visa,Costanza,Saggart,Dublin,Ireland,1/19/2009 10:11,2/2/2009 8:29
1/16/2009 11:49,Product1,1200,Mastercard,Yoko,Andover                     ,MA,United States,2/18/2008 18:56,2/2/2009 8:53
1/1/2009 9:35,Product1,1200,Mastercard,Barbara,La Crescenta                ,CA,United States,12/31/2008 17:51,2/2/2009 10:27
1/13/2009 5:58,Product1,1200,Mastercard,Kit,Suwanee                     ,GA,United States,1/5/2009 21:12,2/2/2009 13:13
1/6/2009 16:08,Product2,3600,Visa,cristina,Seattle                     ,WA,United States,3/14/2005 16:39,2/2/2009 14:17
1/5/2009 10:25,Product1,1200,Amex,linda,Arlington                   ,VA,United States,10/11/2008 3:50,2/2/2009 16:13
1/4/2009 21:08,Product1,1200,Mastercard,Christyna,Calgary,Alberta,Canada,1/21/2008 20:11,2/2/2009 18:50
1/12/2009 20:43,Product1,1200,Visa,Alicja ,Kenmore                     ,WA,United States,1/12/2009 20:31,2/2/2009 20:26
1/17/2009 3:22,Product1,1200,Visa,Rachel,Fresno                      ,CA,United States,2/1/2008 12:45,2/2/2009 20:35
1/18/2009 11:17,Product1,1200,Amex,Rachel,Atascadero                  ,CA,United States,3/11/2008 13:35,2/2/2009 22:49
1/27/2009 9:01,Product1,1200,Visa,Jan,Barcelona,Catalonia,Spain,5/29/2008 12:23,2/3/2009 0:59
1/8/2009 8:11,Product1,1200,Diners,Karin,High Wycombe,England,United Kingdom,1/8/2009 7:00,2/3/2009 1:54
1/26/2009 23:28,Product2,3600,Amex,ron ,Tsaritsyno,Moscow City,Russia,12/7/2006 8:26,2/3/2009 2:10
1/10/2009 21:35,Product1,1200,Mastercard,Sharon,Ajax,Ontario,Canada,8/7/2008 6:17,2/3/2009 3:42
1/11/2009 6:01,Product1,1200,Mastercard,Anna,New York                    ,NY,United States,1/1/2009 10:24,2/3/2009 4:25
1/19/2009 14:53,Product1,1200,Mastercard,Laura,Fairfield                   ,IA,United States,12/12/2008 5:18,2/3/2009 5:40
1/22/2009 7:14,Product1,1200,Visa,Yana,North Bay,Ontario,Canada,10/11/2006 19:22,2/3/2009 6:36
1/15/2009 8:12,Product1,1200,Visa,Katherine,Marietta                    ,GA,United States,1/13/2009 10:03,2/3/2009 7:44
1/7/2009 6:33,Product1,1200,Diners,Therese,Clontarf,Dublin,Ireland,6/15/2008 8:08,2/3/2009 7:51
1/12/2009 8:05,Product1,1200,Amex,Francoise ,Danville                    ,PA,United States,1/12/2009 6:44,2/3/2009 8:01
1/28/2009 13:03,Product2,3600,Amex,Elizabeth,Okotoks,Alberta,Canada,9/10/2008 6:53,2/3/2009 9:13
1/25/2009 8:54,Product1,1200,Amex,Corinne,Anthem                      ,AZ,United States,3/26/2006 17:32,2/3/2009 9:50
1/5/2009 10:08,Product1,1200,Visa,Ec,Clonmel,Tipperary,Ireland,1/5/2009 7:47,2/3/2009 10:21
1/5/2009 19:29,Product1,1200,Visa,Carmen,Arlington                   ,VA,United States,4/29/2008 16:09,2/3/2009 10:23
1/7/2009 19:06,Product2,3600,Amex,Brittany,Orlando                     ,FL,United States,8/10/2004 3:30,2/3/2009 11:32
1/23/2009 11:33,Product1,1200,Mastercard,Sandrine,Walnut Creek                ,CA,United States,1/22/2009 23:31,2/3/2009 11:49
1/3/2009 21:11,Product1,1200,Mastercard,asuncion ,Centennial                  ,CO,United States,12/3/2008 13:00,2/3/2009 11:50
1/11/2009 17:28,Product1,1200,Visa,Sophie,Newtown                     ,CT,United States,1/11/2009 11:50,2/3/2009 12:21
1/21/2009 20:18,Product1,1200,Amex,Henrietta,Vancouver,British Columbia,Canada,7/6/2007 23:53,2/3/2009 12:22
1/24/2009 10:23,Product1,1200,Visa,DD,York,England,United Kingdom,8/19/2008 12:58,2/3/2009 12:57
1/7/2009 14:55,Product1,1200,Visa,Jennifer,Drogheda,Louth,Ireland,9/21/2006 2:39,2/3/2009 13:36
1/29/2009 10:38,Product1,1200,Visa,samuel,Saddle Brook                ,NJ,United States,1/29/2009 9:08,2/3/2009 14:39
1/8/2009 14:04,Product1,1200,Amex,Angelina  Patrick,San Diego                   ,CA,United States,1/7/2009 17:01,2/3/2009 14:57
1/31/2009 21:50,Product1,1200,Visa,Sven,Issaquah                    ,WA,United States,1/31/2009 21:01,2/3/2009 16:30
1/1/2009 16:00,Product1,1200,Visa,Toni,Bolton,England,United Kingdom,10/7/2008 15:19,2/3/2009 16:45
1/30/2009 13:13,Product1,1200,Visa,Patrick,Lexington                   ,MA,United States,1/30/2009 12:44,2/3/2009 17:14
1/27/2009 16:50,Product1,1200,Visa,jason,Altadena                    ,CA,United States,12/28/2008 14:42,2/3/2009 18:09
1/30/2009 7:42,Product1,250,Visa,Tabatha,Altadena                    ,CA,United States,12/28/2008 14:42,2/3/2009 18:09
1/17/2009 15:48,Product2,3600,Visa,Aline,Davis                       ,CA,United States,1/8/2005 14:03,2/3/2009 19:14
1/12/2009 11:40,Product2,3600,Visa,Debra,Toronto,Ontario,Canada,12/30/2008 6:59,2/3/2009 19:42
1/30/2009 20:27,Product1,1200,Mastercard,Natasha,Pasadena                    ,CA,United States,1/30/2009 20:02,2/3/2009 23:39
1/27/2009 18:35,Product1,1200,Mastercard,Melinda,Buffalo Grove               ,IL,United States,1/27/2009 18:28,2/3/2009 23:42
1/16/2009 12:47,Product1,1200,Visa,Luc1nda,London,England,United Kingdom,12/12/2004 15:18,2/4/2009 2:13
1/2/2009 2:50,Product1,1200,Visa,Kim,Newcastle,Wicklow,Ireland,10/12/2005 6:56,2/4/2009 2:19
1/21/2009 5:39,Product1,1200,Amex,Britlyn ,Norwalk                     ,CT,United States,11/4/2008 9:51,2/4/2009 4:31
1/28/2009 1:28,Product1,1200,Diners,Adam,Besancon,Franche-Comte,France,1/26/2009 2:28,2/4/2009 5:39
1/8/2009 13:33,Product1,1200,Visa,Mimi,Monte-Carlo, ,Monaco,9/23/2006 13:19,2/4/2009 6:16
1/22/2009 12:09,Product1,1200,Visa,Liann,Monaco, ,Monaco,1/22/2009 11:32,2/4/2009 6:28
1/20/2009 8:23,Product1,1200,Mastercard,Sarah,Floyds Knobs                ,IN,United States,10/12/2005 17:17,2/4/2009 8:16
1/2/2009 7:47,Product1,1200,Diners,Naseer,London,England,United Kingdom,12/8/2008 6:45,2/4/2009 8:50
1/11/2009 4:55,Product1,1200,Amex,Caroline,Marietta                    ,GA,United States,4/12/2006 18:20,2/4/2009 9:22
1/23/2009 7:47,Product1,1800,Amex,Karena,Marietta                    ,GA,United States,4/12/2006 18:20,2/4/2009 9:22
1/21/2009 23:19,Product1,1200,Amex,janet,Hon                         ,HI,United States,9/4/2008 16:51,2/4/2009 11:11
1/11/2009 4:29,Product3,7500,Visa,Hans,Knoxville                   ,TN,United States,8/28/2008 6:20,2/4/2009 12:17
1/11/2009 4:39,Product1,1200,Visa,Sandra  Thierry  Zoe,Knoxville                   ,TN,United States,8/28/2008 6:20,2/4/2009 12:17
1/10/2009 8:13,Product1,1200,Mastercard,Eleanor,Edinburgh,Scotland,United Kingdom,7/31/2008 22:34,2/4/2009 13:08
1/22/2009 12:55,Product1,1200,Visa,Anna,Paris,Ile-de-France,France,8/17/2007 4:34,2/4/2009 13:12
1/17/2009 15:00,Product1,1200,Visa,Cara ,Humble                      ,TX,United States,3/12/2007 14:55,2/4/2009 13:29
1/4/2009 14:06,Product1,1200,Visa,carolien,Mashpee                     ,MA,United States,1/4/2009 12:21,2/4/2009 13:45
1/30/2009 17:09,Product1,1200,Mastercard,Ana,Hong Kong, ,Hong Kong,7/28/2006 2:31,2/4/2009 16:26
1/20/2009 5:01,Product1,1200,Visa,Patrick,Birmingham                  ,MI,United States,1/18/2009 17:36,2/4/2009 16:45
1/26/2009 14:37,Product1,1200,Visa,Heidi,St Augustine                ,FL,United States,12/19/2007 12:00,2/4/2009 16:55
1/29/2009 13:27,Product1,1200,Visa,Tom,Salt Lake City              ,UT,United States,1/28/2009 14:47,2/4/2009 20:07
1/12/2009 10:33,Product1,1200,Amex,Justine,Seattle                     ,WA,United States,1/7/2009 16:45,2/4/2009 20:57
1/5/2009 8:28,Product1,1200,Visa,isabel,Ruti,Zurich,Switzerland,1/5/2009 5:08,2/4/2009 22:59
1/25/2009 16:11,Product3,7500,Visa,scott,Rogers                      ,AR,United States,1/25/2009 15:55,2/5/2009 0:20
1/25/2009 20:44,Product1,1200,Visa,Fatima,Rogers                      ,AR,United States,1/25/2009 15:55,2/5/2009 0:20
1/26/2009 11:36,Product1,1200,Visa,Judy,Dun Laoghaire,Dublin,Ireland,1/26/2009 7:28,2/5/2009 2:38
1/27/2009 2:32,Product1,1200,Visa,Glenn,Perth,Scotland,United Kingdom,6/27/2006 9:12,2/5/2009 3:15
1/18/2009 13:36,Product1,1200,Amex,Family in,London,England,United Kingdom,4/23/2005 9:46,2/5/2009 3:17
1/7/2009 5:53,Product1,1200,Visa,Lauren,Gries,Rhineland-Palatinate,Germany,1/7/2009 2:49,2/5/2009 3:41
1/25/2009 1:53,Product3,7500,Visa,Michael,Pietermaritzburg,KwaZulu-Natal,South Africa,1/24/2009 12:52,2/5/2009 4:37
1/18/2009 11:42,Product1,1200,Visa,Jodi,Sutton Valence,England,United Kingdom,11/17/2008 10:30,2/5/2009 6:21
1/13/2009 1:46,Product1,1200,Mastercard,simone,Lyngby,Kobenhavn,Denmark,10/30/2007 12:03,2/5/2009 8:52
1/2/2009 15:57,Product1,1200,Diners,Sonja,Alpine                      ,NJ,United States,1/2/2009 15:25,2/5/2009 10:18
1/25/2009 8:50,Product1,1200,Mastercard,Shane,Zurich,Zurich,Switzerland,1/24/2009 12:23,2/5/2009 11:07
1/14/2009 8:16,Product2,3600,Amex,Ruth,Saskatoon,Saskatchewan,Canada,8/9/2008 12:51,2/5/2009 11:24
1/27/2009 11:21,Product1,1200,Mastercard,Cleo,Pacific Palisades           ,CA,United States,1/27/2009 10:38,2/5/2009 12:38
1/8/2009 10:13,Product1,1200,Diners,Benoit,Fort Saint James,British Columbia,Canada,1/7/2009 16:01,2/5/2009 14:03
1/5/2009 7:47,Product1,1200,Amex,Claire,Versoix,Geneve,Switzerland,4/18/2007 12:55,2/5/2009 15:15
1/22/2009 9:00,Product1,1200,Visa,Claire,Trumansburg                 ,NY,United States,7/6/2008 14:33,2/5/2009 16:33
1/25/2009 12:59,Product1,1200,Visa,Lindsey,Kennett Square              ,PA,United States,1/13/2009 20:08,2/5/2009 18:40
1/10/2009 19:28,Product2,3600,Visa,Nicola,San Jose                    ,CA,United States,8/5/2005 0:29,2/5/2009 21:10
1/8/2009 19:29,Product2,3600,Mastercard,PATRICK,Ban Khlong Sip,Krung Thep,Thailand,1/8/2009 0:01,2/5/2009 21:22
1/8/2009 12:04,Product1,1200,Visa,jennifer,Morro Bay                   ,CA,United States,12/1/2003 19:13,2/5/2009 22:11
1/4/2009 16:59,Product1,1200,Visa,Amy,Parramatta,New South Wales,Australia,1/3/2009 22:35,2/5/2009 22:44
1/30/2009 11:56,Product1,1200,Mastercard,Whitney,Dumbleton,England,United Kingdom,7/31/2008 13:46,2/6/2009 0:04
1/6/2009 5:10,Product1,1200,Visa,Astrid,Altlengbach,Lower Austria,Austria,6/24/2008 0:49,2/6/2009 0:37
1/14/2009 3:39,Product1,1200,Visa,jo,Ballincollig,Cork,Ireland,12/10/2008 7:41,2/6/2009 2:36
1/14/2009 3:47,Product1,1200,Visa,Michelle,Ballincollig,Cork,Ireland,12/10/2008 7:41,2/6/2009 2:36
1/19/2009 3:19,Product1,1200,Mastercard,TG,Zagore,Stara Zagora,Bulgaria,11/20/2008 3:00,2/6/2009 4:19
1/7/2009 1:42,Product1,1200,Mastercard,Emily,Vecmilgravis,Riga,Latvia,1/4/2009 10:33,2/6/2009 4:20
1/7/2009 13:01,Product2,3600,Visa,Niki,Trelex,Vaud,Switzerland,8/5/2007 0:43,2/6/2009 5:02
1/27/2009 2:35,Product1,1200,Visa,Sarah,Ornex,Rhone-Alpes,France,8/28/2008 6:28,2/6/2009 5:09
1/3/2009 14:14,Product1,1200,Visa,sherry,Las Vegas                   ,NV,United States,1/3/2009 13:49,2/6/2009 5:29
1/22/2009 12:37,Product2,3600,Amex,Laura,San Anselmo                 ,CA,United States,1/22/2009 10:17,2/6/2009 6:38
1/29/2009 6:49,Product1,1200,Mastercard,Carmela,Hannover,Lower Saxony,Germany,4/2/2008 2:39,2/6/2009 6:52
1/6/2009 9:45,Product1,1200,Diners,Matt,N Woodmere                  ,NY,United States,12/30/2008 13:01,2/6/2009 7:33
1/12/2009 11:16,Product1,1200,Visa,Karen,Madrid,Madrid,Spain,7/17/2007 6:08,2/6/2009 10:42
1/13/2009 13:49,Product1,1200,Visa,Joanne,Castlebar,Mayo,Ireland,1/6/2008 14:03,2/6/2009 12:35
1/12/2009 7:23,Product1,1200,Visa,Stephanie,Fairfax                     ,CA,United States,1/11/2009 14:42,2/6/2009 16:13
1/30/2009 4:48,Product1,1200,Visa,Hurst,Chandler                    ,AZ,United States,6/18/2008 14:29,2/6/2009 17:21
1/22/2009 16:29,Product1,1200,Visa,Liza,Dammeron Valley             ,UT,United States,1/17/2009 15:18,2/6/2009 18:14
1/27/2009 6:26,Product1,1200,Mastercard,Michele,Buffalo                     ,NY,United States,1/25/2009 11:56,2/6/2009 18:24
1/15/2009 10:16,Product3,7500,Visa,Karin,Olive Branch                ,MS,United States,1/12/2009 17:41,2/6/2009 18:48
1/19/2009 18:54,Product1,1200,Amex,cath,Warwick                     ,NY,United States,1/19/2009 11:34,2/6/2009 19:27
